TWEET,USER_ID,TWEET_ID,TWT_POST_DT,USER_NM,USER_ACCT,FOLLOWER_CNT,FRIENDS_CNT,LOCATION,ACCT_CREATE_DT,GEO_ENABLED,USER_URL,RETWEET_CNT,COMPSENTIMENT,POSSENTIMENT,NEGSENTIMENT,NEUSENTIMENT,SENTIMENT_OA,POSCNT,NEGCNT,BLOBPOL,BLOBSUB,COORDINATES,VERIFIED_USER,TOTAL POSTS,IS REPLY,REPLY TO,HASHTAGS
Joe Biden is old enough to be Kamala Harris's dad. Of course he sees her as a kid. #DemDebate2,19859876,1156727917738639363,08/01/2019 00:46,Janvier,JanvierUK,302,248,London,02/01/2009 14:22,False,http://scarlettnation.co.uk,0,0.0,0.0,0.0,1.0,Neutral,0,0,5.0,35.0,,False,18912,,,['DemDebate2']
"Democrat's healthcare will make healthcare harder to access for everybody. ""If you think healthcare is expensive now wait until it's free."" -PJ O'Rourke #DemDebate",812100887657193472,1156727917902278657,08/01/2019 00:46,Dr. Gavin Clarkson,DrGavinClarkson,732,284,"Las Cruces, NM",12/23/2016 01:01,True,http://gavinclarkson.com,0,0.0,0.0,0.0,1.0,Neutral,0,0,-6.666666666666665,50.0,,False,690,,,
#DemDebate The information you really need as voters:,22996614,1156727919772704768,08/01/2019 00:46,Audry Taylor,AudryT,1122,427,Los Angeles,03/05/2009 23:21,False,http://www.imdb.com/name/nm7459556/,0,0.0,0.0,0.0,1.0,Neutral,0,0,20.0,20.0,,False,162207,,,['DemDebate']
"As a Pennsylvania state employee, I have some of the best private health insurance available.  And I hate them.  They. Are. Evil.  I’d give them up in a heartbeat for Medicare for All.  #DemDebate",25887777,1156727919944904704,08/01/2019 00:46,Jeff Welshans,jeffwelshans,225,468,"Harrisburg, PA",03/22/2009 21:48,False,,0,-0.5994,0.107,0.206,0.687,Negative,0,1,-8.000000000000004,59.5,,False,1366,,,
Finally @AndrewYang  #DemDebate,1107072341685796866,1156727920167194624,08/01/2019 00:46,Phillip Koski,ThyUnsheltered,10,187,"Dallas, TX",03/17/2019 00:13,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,100.0,,False,110,,,['DemDebate']
"Omg, I'd rather see a file photo.",35477002,1156727920649560064,08/01/2019 00:46,Jon Parton,JonParton_,424,1955,Kansas City,04/26/2009 14:39,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,2357,,,
OMG this isn't a #DemDebate this is a @KamalaHarris debate hosted by @CNN #awful,16370716,1156727920792166402,08/01/2019 00:46,tds,tomdesee,1008,1999,charlotte nc,09/19/2008 21:36,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,-100.0,100.0,,False,24527,,,"['DemDebate', 'awful']"
Glad WA Gov Insley brought up mental health.  #DemDebate2,179810978,1156727920859209728,08/01/2019 00:46,Cathy Myers,CathyMyersWI,14009,2854,"Janesville, WI",08/18/2010 04:35,True,http://www.cathymyersforcongress.com,0,0.4588,0.273,0.0,0.727,Positive,1,0,20.0,60.0,,True,2575,,,['DemDebate2']
"Cue the Tweets about Biden looking and sounding 'old.' Lots of stumbling already and we're only in hour No. 1.

Would've been preferable to have Mayor Pete or Beto here tonight to provide the contrast. #DemDebate",116060961,1156727920615927814,08/01/2019 00:46,Chris Strub,ChrisStrub,17308,888,"Greenville, SC",02/21/2010 01:10,True,http://www.teamstrub.com,0,-0.296,0.0,0.059,0.941,Negative,0,1,5.0,60.0,,True,121855,,,
Coins For The People,568325188,1156727920951537665,08/01/2019 00:46,Jasmine,jasz1lla,229,948,"DC, for now or forever? Who knows. ",05/01/2012 16:02,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,10006,,,
